TRAIN_CODE,STATION_CODE,SCHEDULE_ARRIVAL_TIME,SCHEDULE_DEPARTURE_TIME,API_ARRIVAL_TIME,API_DEPARTURE_TIME,TIME_MATCH
7UP,LHR,13:05:00,13:35:00,13:05:00,13:35:00,YES
7UP,GRW,14:30:00,14:35:00,14:30:00,14:35:00,YES
7UP,WZD,15:02:00,15:04:00,15:02:00,15:04:00,YES
7UP,GRT,15:20:00,15:22:00,15:20:00,15:22:00,YES
7UP,LLM,15:43:00,15:45:00,15:43:00,15:45:00,YES
7UP,JMR,16:15:00,16:17:00,16:15:00,16:17:00,YES
7UP,GKN,17:45:00,17:47:00,17:45:00,17:47:00,YES
7UP,CKL,18:40:00,18:42:00,18:40:00,18:42:00,YES
7UP,RWP,19:00:00,19:00:00,19:00:00,,YES
8DN,RWP,,08:00:00,,08:00:00,YES
8DN,CKL,08:08:00,08:10:00,08:08:00,08:10:00,YES
8DN,GKN,08:50:00,08:52:00,08:50:00,08:52:00,YES
8DN,JMR,10:02:00,10:04:00,10:02:00,10:04:00,YES
8DN,LLM,10:50:00,10:55:00,10:50:00,10:55:00,YES
8DN,GRT,11:12:00,11:14:00,11:12:00,11:14:00,YES
8DN,WZD,11:30:00,11:32:00,11:30:00,11:32:00,YES
8DN,GRW,12:00:00,12:05:00,12:00:00,12:05:00,YES
8DN,LHR,13:05:00,13:35:00,13:05:00,13:35:00,YES
8DN,RND,14:10:00,14:15:00,14:10:00,14:15:00,YES
8DN,PTO,14:46:00,14:48:00,14:46:00,14:48:00,YES
8DN,OKR,15:30:00,15:32:00,15:30:00,15:32:00,YES
8DN,SWAL,16:10:00,16:12:00,16:10:00,16:12:00,YES
8DN,CCE,16:43:00,16:45:00,16:43:00,16:45:00,YES
8DN,MYH,17:11:00,17:13:00,17:11:00,17:13:00,YES
8DN,KWL,17:55:00,18:00:00,17:55:00,18:00:00,YES
8DN,MUL,18:35:00,18:55:00,18:35:00,18:55:00,YES
8DN,BWPR,20:11:00,20:15:00,20:11:00,20:15:00,YES
8DN,KPR,21:52:00,21:57:00,21:52:00,21:57:00,YES
8DN,RYK,22:30:00,22:32:00,22:30:00,22:32:00,YES
8DN,GHK,23:53:00,23:55:00,23:53:00,23:55:00,YES
8DN,ROH,00:50:00,01:15:00,00:50:00,01:15:00,YES
8DN,KHP,01:45:00,01:47:00,01:45:00,01:47:00,YES
8DN,MHR,02:27:00,02:29:00,02:27:00,02:29:00,YES
8DN,NWS,04:18:00,04:20:00,04:18:00,04:20:00,YES
8DN,SDU,05:07:00,05:09:00,05:07:00,05:09:00,YES
8DN,TDM,05:29:00,05:31:00,05:29:00,05:31:00,YES
8DN,HDR,06:15:00,06:20:00,06:15:00,06:20:00,YES
8DN,LND,08:12:00,08:14:00,08:12:00,08:14:00,YES
8DN,DID,08:47:00,08:49:00,08:47:00,08:49:00,YES
8DN,KCT,09:15:00,09:15:00,09:15:00,,YES
9UP,KCT,,15:30:00,,15:30:00,YES
9UP,DID,15:49:00,15:51:00,15:49:00,15:51:00,YES
9UP,LND,16:11:00,16:13:00,16:11:00,16:13:00,YES
9UP,KOT,17:55:00,17:57:00,17:55:00,17:57:00,YES
9UP,HDR,18:15:00,18:20:00,18:15:00,18:20:00,YES
9UP,TDM,19:08:00,19:22:00,19:20:00,19:22:00,YES
9UP,NWS,20:30:00,20:35:00,20:30:00,20:35:00,YES
9UP,BRO,21:20:00,21:22:00,21:20:00,21:22:00,YES
9UP,MHR,21:39:00,21:41:00,21:39:00,21:41:00,YES
9UP,GBT,22:03:00,22:05:00,22:03:00,22:05:00,YES
9UP,ROH,23:15:00,23:40:00,23:15:00,23:40:00,YES
9UP,GHK,00:21:00,00:23:00,00:21:00,00:23:00,YES
9UP,SDK,01:26:00,01:28:00,01:26:00,01:28:00,YES
9UP,RYK,01:58:00,02:00:00,01:58:00,02:00:00,YES
9UP,KPR,02:55:00,03:00:00,02:55:00,03:00:00,YES
9UP,DWBS,03:57:00,03:59:00,03:57:00,03:59:00,YES
9UP,BWPR,04:41:00,04:45:00,04:41:00,04:45:00,YES
9UP,LON,05:03:00,05:05:00,05:03:00,05:05:00,YES
9UP,DYR,05:29:00,05:31:00,05:29:00,05:31:00,YES
9UP,JAI,05:53:00,05:55:00,05:53:00,05:55:00,YES
9UP,KWL,06:35:00,07:00:00,06:35:00,07:00:00,YES
9UP,MYH,07:32:00,07:34:00,07:32:00,07:34:00,YES
9UP,CCE,08:00:00,08:02:00,08:00:00,08:02:00,YES
9UP,SWAL,08:40:00,08:45:00,08:40:00,08:45:00,YES
9UP,OKR,09:20:00,09:22:00,09:20:00,09:22:00,YES
9UP,PTO,09:54:00,09:56:00,09:54:00,09:56:00,YES
9UP,KRK,10:18:00,10:20:00,10:18:00,10:20:00,YES
9UP,RND,10:35:00,10:40:00,10:35:00,10:40:00,YES
9UP,LKP,11:11:00,11:13:00,11:11:00,11:13:00,YES
9UP,LHR,11:45:00,12:20:00,11:45:00,12:20:00,YES
9UP,SDR,12:37:00,12:39:00,12:37:00,12:39:00,YES
9UP,NRNG,13:36:00,13:38:00,13:36:00,13:38:00,YES
9UP,BDML,14:02:00,14:04:00,14:02:00,14:04:00,YES
9UP,NWL,14:45:00,14:50:00,14:45:00,14:50:00,YES
9UP,QSB,15:24:00,15:26:00,15:24:00,15:26:00,YES
9UP,PSW,15:50:00,15:52:00,15:50:00,15:52:00,YES
9UP,CWD,16:14:00,16:16:00,16:14:00,16:16:00,YES
9UP,SLK,17:00:00,17:00:00,17:00:00,,YES
10DN,SLK,,07:30:00,,07:30:00,YES
10DN,CWD,08:04:00,08:06:00,08:04:00,08:06:00,YES
10DN,PSW,08:28:00,08:30:00,08:28:00,08:30:00,YES
10DN,QSB,08:54:00,08:56:00,08:54:00,08:56:00,YES
10DN,NWL,09:40:00,09:45:00,09:40:00,09:45:00,YES
10DN,BDML,10:14:00,10:16:00,10:14:00,10:16:00,YES
10DN,NRNG,10:40:00,10:42:00,10:40:00,10:42:00,YES
10DN,SDR,11:48:00,11:50:00,11:48:00,11:50:00,YES
10DN,LHR,12:05:00,12:40:00,12:05:00,12:40:00,YES
10DN,LKP,12:58:00,13:00:00,12:58:00,13:00:00,YES
10DN,RND,13:25:00,13:30:00,13:25:00,13:30:00,YES
10DN,KRK,13:45:00,13:47:00,13:45:00,13:47:00,YES
10DN,PTO,14:09:00,14:11:00,14:09:00,14:11:00,YES
10DN,OKR,14:53:00,14:55:00,14:53:00,14:55:00,YES
10DN,SWAL,15:35:00,15:40:00,15:35:00,15:40:00,YES
10DN,CCE,16:11:00,16:13:00,16:11:00,16:13:00,YES
10DN,MYH,16:39:00,16:41:00,16:39:00,16:41:00,YES
10DN,KWL,17:25:00,17:50:00,17:25:00,17:50:00,YES
10DN,JAI,18:18:00,18:20:00,18:18:00,18:20:00,YES
10DN,DYR,18:42:00,18:44:00,18:42:00,18:44:00,YES
10DN,LON,19:13:00,19:15:00,19:13:00,19:15:00,YES
10DN,BWPR,19:35:00,19:40:00,19:35:00,19:40:00,YES
10DN,DWBS,20:17:00,20:19:00,20:17:00,20:19:00,YES
10DN,KPR,21:25:00,21:30:00,21:25:00,21:30:00,YES
10DN,RYK,22:02:00,22:04:00,22:02:00,22:04:00,YES
10DN,SDK,22:24:00,22:26:00,22:24:00,22:26:00,YES
10DN,GHK,23:28:00,23:30:00,23:28:00,23:30:00,YES
10DN,ROH,00:40:00,01:05:00,00:40:00,01:05:00,YES
10DN,MHR,02:04:00,02:06:00,02:04:00,02:06:00,YES
10DN,BRO,02:28:00,02:30:00,02:28:00,02:30:00,YES
10DN,NWS,03:50:00,03:55:00,03:50:00,03:55:00,YES
10DN,TDM,05:04:00,05:06:00,05:04:00,05:06:00,YES
10DN,HDR,05:50:00,05:55:00,05:50:00,05:55:00,YES
10DN,KOT,06:13:00,06:15:00,06:13:00,06:15:00,YES
10DN,LND,07:53:00,07:55:00,07:53:00,07:55:00,YES
10DN,DID,08:30:00,08:32:00,08:30:00,08:32:00,YES
10DN,KCT,09:00:00,09:00:00,09:00:00,,YES
11UP,KYC,,06:35:00,,06:35:00,YES
11UP,KCT,06:45:00,07:00:00,06:45:00,07:00:00,YES
11UP,DID,07:20:00,07:22:00,07:20:00,07:22:00,YES
11UP,LND,07:42:00,07:44:00,07:42:00,07:44:00,YES
11UP,KOT,09:31:00,09:33:00,09:31:00,09:33:00,YES
11UP,HDR,09:55:00,10:05:00,09:55:00,10:05:00,YES
11UP,TDM,10:57:00,10:59:00,10:57:00,10:59:00,YES
11UP,SDU,11:16:00,11:18:00,11:16:00,11:18:00,YES
11UP,NWS,11:48:00,11:50:00,11:48:00,11:50:00,YES
11UP,PDN,12:32:00,12:34:00,12:32:00,12:34:00,YES
11UP,BRO,12:47:00,12:49:00,12:47:00,12:49:00,YES
11UP,MHR,13:10:00,13:12:00,13:10:00,13:12:00,YES
11UP,GBT,13:50:00,13:52:00,13:50:00,13:52:00,YES
11UP,KHP,14:26:00,14:28:00,14:26:00,14:28:00,YES
11UP,ROH,15:10:00,15:35:00,15:10:00,15:35:00,YES
11UP,PNL,16:02:00,16:04:00,16:02:00,16:04:00,YES
11UP,GHK,16:25:00,16:27:00,16:25:00,16:27:00,YES
11UP,MRP,16:50:00,16:52:00,16:50:00,16:52:00,YES
11UP,DRK,17:08:00,17:10:00,17:08:00,17:10:00,YES
11UP,SDK,17:48:00,17:50:00,17:48:00,17:50:00,YES
11UP,RYK,18:20:00,18:25:00,18:20:00,18:25:00,YES
11UP,KPR,19:15:00,19:20:00,19:15:00,19:20:00,YES
11UP,LQP,19:54:00,19:56:00,19:54:00,19:56:00,YES
11UP,DWBS,20:26:00,20:28:00,20:26:00,20:28:00,YES
11UP,MBK,20:43:00,20:45:00,20:43:00,20:45:00,YES
11UP,SMA,21:09:00,21:11:00,21:09:00,21:11:00,YES
11UP,BWPR,21:25:00,21:30:00,21:25:00,21:30:00,YES
11UP,LON,13:53:00,21:55:00,21:53:00,21:55:00,YES
11UP,GLW,22:16:00,22:18:00,22:16:00,22:18:00,YES
11UP,SJB,22:37:00,22:39:00,22:37:00,22:39:00,YES
11UP,MUL,23:10:00,23:40:00,23:10:00,23:40:00,YES
11UP,KWL,00:20:00,00:25:00,00:20:00,00:25:00,YES
11UP,ABK,00:51:00,00:53:00,00:51:00,00:53:00,YES
11UP,SKO,01:25:00,01:30:00,01:25:00,01:30:00,YES
11UP,JGH,02:55:00,03:00:00,02:55:00,03:00:00,YES
11UP,SWY,04:46:00,04:48:00,04:46:00,04:48:00,YES
11UP,SHND,05:07:00,05:08:00,05:07:00,05:08:00,YES
11UP,SRQ,05:30:00,05:40:00,05:30:00,05:40:00,YES
11UP,BWQ,06:25:00,06:27:00,06:25:00,06:27:00,YES
11UP,PHW,06:48:00,06:50:00,06:48:00,06:50:00,YES
11UP,MKW,07:30:00,07:35:00,07:30:00,07:35:00,YES
11UP,MBDN,08:02:00,08:04:00,08:02:00,08:04:00,YES
11UP,DGH,08:28:00,08:30:00,08:28:00,08:30:00,YES
